,run,biosample,MIC_AMC,MIC_AMP,MIC_AZM,MIC_FOX,MIC_TIO,MIC_CRO,MIC_CHL,MIC_CIP,MIC_GEN,MIC_NAL,MIC_STR,MIC_FIS,MIC_TET,MIC_SXT,MIC_KAN,SIR_AMC,SIR_AMP,SIR_AZM,SIR_FOX,SIR_TIO,SIR_CRO,SIR_CHL,SIR_CIP,SIR_GEN,SIR_NAL,SIR_STR,SIR_FIS,SIR_TET,SIR_SXT,SIR_KAN,isolation_source,serovar,collection_date,collected_by,geo_loc_name,strain,sub_species,Typing Method,Testing Standard,source,cgmlst_matching_alleles,cgmlst_subspecies,h1,h2,o_antigen,serogroup,serovar_antigen,serovar_cgmlst
10,SRR3182722,SAMN04507497,<= 1,<= 1,8,2, ,<= 0.25,4,<= 0.015,<= 0.25,2,== 4,<= 16,<= 4,<= 0.12, ,susceptible,susceptible,susceptible,susceptible, ,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible, ,animal-swine-sow,Johannesburg,2016,USDA-FSIS,USA:IL,FSIS1605768,enterica,,CLSI,,,,,,,,,
11,SRR4420827,SAMN05907694,16,> 32,2,1,0.5,<= 0.25,16,1,1,> 32,> 64,> 256,> 32,> 4, ,intermediate,resistant,susceptible,susceptible,susceptible,susceptible,intermediate,resistant,susceptible,resistant,resistant,resistant,resistant,resistant, ,stool,"I 4,[5],12:i:-",Jul-2014,CDC,USA,2014AM-0861,enterica,,CLSI,,,,,,,,,
12,SRR3664731,SAMN05201844,<= 1,<= 1,4,2,1,<= 0.25,8,0.03,0.5,4,<= 32,32,<= 4,<= 0.125,<= 8,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,chicken breast,"I 9,12:non-motile",2012,FDA,USA:MD,CVM N40372,enterica,,CLSI,,,,,,,,,
13,SRR3665244,SAMN05201691,<= 1,<= 1,4,2,0.5,<= 0.25,8,<= 0.015,> 16,8,> 64,> 256,<= 4,<= 0.125,<= 8,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,susceptible,resistant,resistant,susceptible,susceptible,susceptible,chicken breast,"I 4,5,12:non-motile",2011,FDA,USA:PA,CVM N35517,enterica,,CLSI,,,,,,,,,
14,SRR3271882,SAMN04255332,<= 1,2, ,2,1,<= 0.25,8,0.03,0.5,8,<= 32,64,<= 4,<= 0.125,<= 8,susceptible,susceptible, ,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,chicken breast,"I 9,12:nonmotile",2009,FDA,USA:NY,CVM-N23570,enterica,,CLSI,,,,,,,,,
15,SRR3116163,SAMN04217348,<= 1,2, ,4,1,<= 0.25,8,<= 0.015,0.5,8,<= 32,64,> 32,<= 0.125,<= 8,susceptible,susceptible, ,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,susceptible,susceptible,ground turkey,"I 4,12:nonmotile",2009,FDA,USA:NY,WAPHL-SAL-A01103,enterica,,CLSI,,,,,,,,,
16,SRR3057220,SAMN04217178,> 32,> 32, ,> 32,> 8,16,8,0.03,<= 0.25,4,<= 32,> 256,> 32,<= 0.125,<= 8,resistant,resistant, ,resistant,resistant,resistant,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,resistant,susceptible,susceptible,chicken breast,"I 4,12:nonmotile",2009,FDA,USA:MD,WAPHL-SAL-A00954,enterica,,CLSI,,,,,,,,,
17,SRR2542481,SAMN03938943,2,<= 1, ,4,1,<= 0.25,4,<= 0.015,0.5,4,<= 32,64,> 32,<= 0.125,<= 8,susceptible,susceptible, ,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,susceptible,susceptible,ground turkey,"I 4,12:d:-",2008,FDA,USA:NY,VA-WGS-00641, ,,CLSI,,,,,,,,,
18,SRR2584317,SAMN03938868,<= 1,2, ,2,1,<= 0.25,8,<= 0.015,0.5,4,<= 32,64,<= 4,<= 0.125,<= 8,susceptible,susceptible, ,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,chicken breast,"I 4,12:i:-",2008,FDA,USA:NM,VA-WGS-00566, ,,CLSI,,,,,,,,,
19,SRR2962397,SAMN03938866,<= 1,<= 1, ,2,1,<= 0.25,8,<= 0.015,1,4,<= 32,64,<= 4,<= 0.125,<= 8,susceptible,susceptible, ,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,chicken breast,"I 4,5,12:i:-",2008,FDA,USA:NM,VA-WGS-00564, ,,CLSI,,,,,,,,,
20,SRR2962362,SAMN03938800,8,> 32, ,2,1,<= 0.25,8,<= 0.015,16,4,<= 32,> 256,> 32,0.25,<= 8,susceptible,resistant, ,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,susceptible,susceptible,resistant,resistant,susceptible,susceptible,ground turkey,"I 4,5,12:r:-",2008,FDA,USA:GA,VA-WGS-00498, ,,CLSI,,,,,,,,,
21,SRR2669156,SAMN03842414,<= 1,<= 1, ,2,1,<= 0.25,4,<= 0.015,0.5,4,<= 32,32,<= 4,<= 0.125,<= 8,susceptible,susceptible, ,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,chicken breast,"I 4,12:i:-",2008,FDA,USA:TN,CVM-N16442, ,,CLSI,,,,,,,,,
22,SRR2669154,SAMN03842413,<= 1,<= 1, ,2,1,<= 0.25,4,<= 0.015,0.5,2,<= 32,64,<= 4,<= 0.125,<= 8,susceptible,susceptible, ,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,chicken breast,"I 4,12:i:-",2008,FDA,USA:TN,CVM-N16441, ,,CLSI,,,,,,,,,
23, ,SAMN03842403,16,> 32, ,4,1,<= 0.25,8,<= 0.015,1,4,<= 32,32,> 32,<= 0.125,> 64,intermediate,resistant, ,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,susceptible,resistant,ground turkey,"I 4,12:d:-",2008,FDA,USA:NY,CVM-N16431, ,,CLSI,,,,,,,,,
24,SRR2533482,SAMN03842322,2,4, ,16,2,<= 0.25,16,0.06,<= 0.25,8,<= 32,64,<= 4,<= 0.125,<= 8,susceptible,susceptible, ,intermediate,susceptible,susceptible,intermediate,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,pork chop,"I 6,7:nonmotile",2007,FDA,USA:NM,CVM-N15789, ,,CLSI,,,,,,,,,
25,SRR2533519,SAMN03842314,<= 1,2, ,2,1,<= 0.25,8,<= 0.015,0.5,4,<= 32,128,<= 4,<= 0.125,<= 8,susceptible,susceptible, ,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,chicken breast,"I 4,5,12:i:-",2007,FDA,USA:NM,CVM-N15779, ,,CLSI,,,,,,,,,
26,SRR2143501,SAMN03842234,<= 1,<= 1, ,2,0.5,<= 0.25,8,<= 0.015,16,2,<= 32,> 256,<= 4,0.25,<= 8,susceptible,susceptible, ,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,susceptible,susceptible,resistant,susceptible,susceptible,susceptible,ground beef,"I 4,5,12:i:-",2007,FDA,USA:MN,CVM-N14792, ,,CLSI,,,,,,,,,
27,SRR2533336,SAMN03291710,<= 1,<= 1, ,2,1,<= 0.25,8,0.03,0.5,4,<= 32,64,<= 4,<= 0.125,<= 8,susceptible,susceptible, ,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,chicken breast,"I 4,5,12:i:-",2006,FDA,USA:TN,WAPHL_SAL-A00881, ,,CLSI,,,,,,,,,
28,SRR2533460,SAMN03291685,<= 1,<= 1, ,2,1,<= 0.25,8,<= 0.015,> 16,4,> 64,> 256,<= 4,<= 0.125,== 16,susceptible,susceptible, ,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,susceptible,resistant,resistant,susceptible,susceptible,susceptible,ground turkey,"I 4,12:i:-",2006,FDA,USA:NY,WAPHL_SAL-A00856, ,,CLSI,,,,,,,,,
29,SRR2078195,SAMN03291635,<= 1,<= 1, ,2,1,<= 0.25,8,<= 0.015,> 16,4,<= 32,> 256,> 32,<= 0.125,<= 8,susceptible,susceptible, ,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,susceptible,susceptible,resistant,resistant,susceptible,susceptible,chicken breast,"I 4,5,12:i:-",2006,FDA,USA:NM,WAPHL_SAL-A00806, ,,CLSI,,,,,,,,,
30,SRR2064125,SAMN03291626,<= 1,<= 1, ,2,1,<= 0.25,4,<= 0.015,> 16,4,== 64,> 256,<= 4,<= 0.125,<= 8,susceptible,susceptible, ,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,susceptible,resistant,resistant,susceptible,susceptible,susceptible,chicken breast,"I 4,5,12:i:-",2006,FDA,USA:NM,WAPHL_SAL-A00797, ,,CLSI,,,,,,,,,
31,SRR1982165,SAMN03291571,<= 1,<= 1, ,4,1,<= 0.25,8,<= 0.015,0.5,4,<= 32,64,> 32,<= 0.125,<= 8,susceptible,susceptible, ,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,susceptible,susceptible,ground turkey,"I 4,12:d:-",2006,FDA,USA:MD,WAPHL_SAL-A00742, ,,CLSI,,,,,,,,,
32,SRR1973816,SAMN03291554,<= 1,<= 1, ,4,1,<= 0.25,4,<= 0.015,0.5,4,<= 32,64,> 32,<= 0.125,<= 8,susceptible,susceptible, ,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,susceptible,susceptible,ground turkey,"I 4,12:d:-",2006,FDA,USA:MD,WAPHL_SAL-A00725, ,,CLSI,,,,,,,,,
33,SRR1973701,SAMN03291553,<= 1,<= 1, ,4,1,<= 0.25,4,<= 0.015,0.5,4,<= 32,64,> 32,<= 0.125,<= 8,susceptible,susceptible, ,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,susceptible,susceptible,ground turkey,"I 4,12:d:-",2006,FDA,USA:MD,WAPHL_SAL-A00724, ,,CLSI,,,,,,,,,
34,SRR1973682,SAMN03291552,<= 1,<= 1, ,4,1,<= 0.25,8,<= 0.015,0.5,4,<= 32,64,> 32,<= 0.125,<= 8,susceptible,susceptible, ,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,susceptible,susceptible,ground turkey,"I 4,12:d:-",2006,FDA,USA:MD,WAPHL_SAL-A00723, ,,CLSI,,,,,,,,,
35,SRR2533574,SAMN03276121,<= 1,<= 1, ,2,2,<= 0.25,8,<= 0.015,<= 0.25,4,<= 32,32,<= 4,<= 0.125,<= 8,susceptible,susceptible, ,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,ground beef,"I 4,12:i:-",2007,FDA,USA:CO,NY-N14747, ,,CLSI,,,,,,,,,
36,SRR2070988,SAMN03276088,<= 1,<= 1, ,2,1,<= 0.25,8,<= 0.015,<= 0.25,4,<= 32,32,> 32,<= 0.125,<= 8,susceptible,susceptible, ,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,susceptible,susceptible,ground turkey,"I 4,5,12:r:-",2007,FDA,USA:TN,NY-N14333, ,,CLSI,,,,,,,,,
37,SRR2070989,SAMN03276087,<= 1,<= 1, ,2,1,<= 0.25,8,<= 0.015,0.5,4,<= 32,32,> 32,0.25,<= 8,susceptible,susceptible, ,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,susceptible,susceptible,ground turkey,"I 4,5,12:r:-",2007,FDA,USA:TN,NY-N14332, ,,CLSI,,,,,,,,,
38,SRR2071017,SAMN03276086,2,2, ,2,1,<= 0.25,8,<= 0.015,0.5,4,<= 32,32,> 32,0.25,<= 8,susceptible,susceptible, ,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,susceptible,susceptible,ground turkey,"I 4,5,12:r:-",2007,FDA,USA:TN,NY-N14331, ,,CLSI,,,,,,,,,
39,SRR2017882,SAMN03276039,<= 1,<= 1, ,4,0.5,<= 0.25,4,<= 0.015,<= 0.25,2,<= 32,> 256,> 32,<= 0.125,<= 8,susceptible,susceptible, ,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,resistant,susceptible,susceptible,chicken breast,"I 4,12:nonmotile",2007,FDA,USA:NY,NY-N13664, ,,CLSI,,,,,,,,,
40,SRR2033914,SAMN03276023,<= 1,<= 1, ,2,1,<= 0.25,8,<= 0.015,16,2,<= 32,> 256,<= 4,0.25,<= 8,susceptible,susceptible, ,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,susceptible,susceptible,resistant,susceptible,susceptible,susceptible,chicken breast,"I 4,12:i:-",2007,FDA,USA:NM,NY-N13205, ,,CLSI,,,,,,,,,
41,SRR1946947,SAMN03275966,> 32,> 32, ,> 32,> 8,16,8,0.03,0.5,8,<= 32,64,<= 4,<= 0.125,<= 8,resistant,resistant, ,resistant,resistant,resistant,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,chicken breast,"I 4,5,12:i:-",2006,FDA,USA:TN,NY-N11267, ,,CLSI,,,,,,,,,
42,SRR1946973,SAMN03275965,<= 1,<= 1, ,2,1,<= 0.25,8,0.03,0.5,4,== 64,64,<= 4,<= 0.125,<= 8,susceptible,susceptible, ,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,susceptible,susceptible,susceptible,susceptible,chicken breast,"I 4,5,12:i:-",2006,FDA,USA:TN,NY-N11266, ,,CLSI,,,,,,,,,
43,SRR1946953,SAMN03275962,<= 1,<= 1, ,2,1,<= 0.25,8,0.03,0.5,4,<= 32,64,<= 4,<= 0.125,<= 8,susceptible,susceptible, ,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,chicken breast,"I 4,12:i:-",2006,FDA,USA:TN,NY-N11263, ,,CLSI,,,,,,,,,
44,SRR1909006,SAMN03275935,<= 1,<= 1, ,2,1,<= 0.25,8,<= 0.015,0.5,4,<= 32,64,<= 4,<= 0.125,<= 8,susceptible,susceptible, ,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,chicken breast,"I 4,5,12:i:-",2006,FDA,USA:TN,NY-N11234, ,,CLSI,,,,,,,,,
45,SRR1947037,SAMN03275926,<= 1,<= 1, ,2,1,<= 0.25,8,<= 0.015,0.5,4,<= 32,64,<= 4,<= 0.125,<= 8,susceptible,susceptible, ,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,ground turkey,"I 4,5,12:i:-",2006,FDA,USA:TN,NY-N11225, ,,CLSI,,,,,,,,,
46,SRR1801545,SAMN03269414,<= 1,<= 1, ,2,1,<= 0.25,8,0.03,0.5,4,<= 32,32,<= 4,<= 0.125,<= 8,susceptible,susceptible, ,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,chicken breast,"I 4,5,12:i:-",2006,FDA,USA:CO,FL-NRM233, ,,CLSI,,,,,,,,,
47,SRR1791384,SAMN03269413,<= 1,<= 1, ,4,1,<= 0.25,8,0.03,0.5,4,<= 32,32,<= 4,<= 0.125,<= 8,susceptible,susceptible, ,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,chicken breast,"I 4,5,12:i:-",2006,FDA,USA:CA,FL-NRM208, ,,CLSI,,,,,,,,,
48,SRR1773838,SAMN03269412,<= 1,<= 1, ,4,0.5,<= 0.25,4,0.03,0.5,4,<= 32,64,<= 4,<= 0.125,<= 8,susceptible,susceptible, ,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,chicken breast,"I 4,5,12:i:-",2005,FDA,USA:TN,FL-NRM167, ,,CLSI,,,,,,,,,
49,SRR1773640,SAMN03269411,<= 1,<= 1, ,2,0.5,<= 0.25,8,0.03,0.5,4,<= 32,64,<= 4,<= 0.125,<= 8,susceptible,susceptible, ,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,chicken breast,"I 4,5,12:i:-",2005,FDA,USA:TN,FL-NRM161, ,,CLSI,,,,,,,,,
50,SRR1774021,SAMN03269410,<= 1,<= 1, ,1,1,<= 0.25,4,<= 0.015,> 16,4,== 64,> 256,> 32,<= 0.125,<= 8,susceptible,susceptible, ,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,susceptible,resistant,resistant,resistant,susceptible,susceptible,chicken breast,"I 4,5,12:i:-",2005,FDA,USA:TN,FL-NRM159, ,,CLSI,,,,,,,,,
51,SRR1767814,SAMN03269409,<= 1,<= 1, ,2,0.5,<= 0.25,8,<= 0.015,0.5,4,<= 32,32,<= 4,<= 0.125,<= 8,susceptible,susceptible, ,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,chicken breast,"I 4,5,12:i:-",2005,FDA,USA:CA,FL-NRM146, ,,CLSI,,,,,,,,,
52,SRR1763850,SAMN03269408,<= 1,<= 1, ,2,0.5,<= 0.25,4,<= 0.015,<= 0.25,4,<= 32,32,<= 4,<= 0.125,<= 8,susceptible,susceptible, ,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,chicken breast,"I 4,5,12:i:-",2005,FDA,USA:CO,FL-NRM134, ,,CLSI,,,,,,,,,
53,SRR1791378,SAMN03269406,<= 1,2, ,4,1,<= 0.25,4,<= 0.015,0.5,4,<= 32,64,<= 4,<= 0.125,<= 8,susceptible,susceptible, ,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,ground turkey,"I 4,12:d:-",2005,FDA,USA:MD,FL-NRM207, ,,CLSI,,,,,,,,,
54,SRR1773591,SAMN03269405,<= 1,<= 1, ,4,1,<= 0.25,4,<= 0.015,0.5,2,<= 32,32,<= 4,<= 0.125,<= 8,susceptible,susceptible, ,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,ground turkey,"I 4,12:d:-",2005,FDA,USA:CT,FL-NRM158, ,,CLSI,,,,,,,,,
55,SRR1646556,SAMN02894090,> 32,> 32, ,> 32,> 8,16,4,<= 0.015,<= 0.25,4,<= 32,> 256,> 32,<= 0.125,<= 8,resistant,resistant, ,resistant,resistant,resistant,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,resistant,susceptible,susceptible,chicken breast,"I 4,5,12:nonmotile",2005,FDA,USA:CT,AZ-TG74256, ,,CLSI,,,,,,,,,
56,SRR1556931,SAMN02894089,<= 1,<= 1, ,2,0.5,<= 0.25,8,<= 0.015,1,4,<= 32,64,<= 4,<= 0.125,<= 8,susceptible,susceptible, ,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,chicken breast,"I 4,5,12:i:-",2005,FDA,USA:MN,AZ-TG74780, ,,CLSI,,,,,,,,,
57,SRR1752893,SAMN02894088,<= 1,<= 1, ,1,0.5,<= 0.25,8,<= 0.015,<= 0.25,4,<= 32,32,<= 4,<= 0.125,<= 8,susceptible,susceptible, ,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,chicken breast,"I 4,5,12:i:-",2005,FDA,USA:MN,AZ-TG74688, ,,CLSI,,,,,,,,,
58,SRR1534908,SAMN02894087,<= 1,<= 1, ,2,0.5,<= 0.25,4,<= 0.015,<= 0.25,4,<= 32,32,<= 4,<= 0.125,<= 8,susceptible,susceptible, ,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,chicken breast,"I 4,5,12:i:-",2005,FDA,USA:MN,AZ-TG74664, ,,CLSI,,,,,,,,,
59,SRR1646942,SAMN02894086,2,2, ,8,1,<= 0.25,8,<= 0.015,0.5,4,<= 32,32,> 32,<= 0.125,<= 8,susceptible,susceptible, ,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,susceptible,susceptible,ground turkey,"I 4,5,12:d:-",2005,FDA,USA:CT,AZ-TG74288, ,,CLSI,,,,,,,,,
60,SRR1646941,SAMN02894085,2,2, ,8,1,<= 0.25,8,<= 0.015,0.5,4,<= 32,64,> 32,<= 0.125,<= 8,susceptible,susceptible, ,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,susceptible,susceptible,ground turkey,"I 4,5,12:d:-",2005,FDA,USA:CT,AZ-TG74284, ,,CLSI,,,,,,,,,
61,SRR1664299,SAMN02894084,32,> 32, ,32,> 8,32,> 32,<= 0.015,0.5,4,> 64,> 256,> 32,<= 0.125,<= 8,resistant,resistant, ,resistant,resistant,resistant,resistant,susceptible,susceptible,susceptible,resistant,resistant,resistant,susceptible,susceptible,ground turkey,"I 4,12:r:-",2005,FDA,USA:MD,AZ-TG74544, ,,CLSI,,,,,,,,,
62,SRR1631186,SAMN02894083,<= 1,<= 1, ,4,1,<= 0.25,4,<= 0.015,1,4,<= 32,64,<= 4,<= 0.125,<= 8,susceptible,susceptible, ,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,chicken breast,"I 4,12:d:-",2005,FDA,USA:MD,AZ-TG74552, ,,CLSI,,,,,,,,,
63,SRR1528478,SAMN02894082,<= 1,<= 1, ,8,1,<= 0.25,8,<= 0.015,0.5,4,<= 32,64,> 32,<= 0.125,<= 8,susceptible,susceptible, ,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,susceptible,susceptible,ground turkey,"I 4,12:d:-",2005,FDA,USA:MD,AZ-TG74500, ,,CLSI,,,,,,,,,
